number_of_dates,percentage,symbol
23,4.8,BTT
23,4.83,PVT
23,4.83,TRC
23,4.84,VGS
23,4.89,GIL
23,4.9,VIT
23,4.92,BLF
22,4.92,L43
23,4.93,HBC
23,4.93,SAM
6,4.94,ADC
22,4.94,RIC
23,4.95,TKU
23,4.96,DAG
5,4.96,HDA
23,4.98,TCL
23,4.99,TIE
23,4.99,VC7
23,5.0,DSN
23,5.02,VNG
23,5.05,TCR
21,5.06,DVP
23,5.06,HOM
23,5.08,SGT
23,5.09,VNC
23,5.11,PHH
23,5.12,PNJ
23,5.14,ANV
23,5.15,HAI
23,5.16,TV1
23,5.18,BHC
23,5.18,HLC
23,5.18,STG
23,5.19,PSI
23,5.21,NAG
7,5.22,BED
23,5.22,CAD
19,5.22,SRF
18,5.23,LDP
23,5.23,TPC
21,5.24,CMX
23,5.26,GTA
23,5.26,HMC
19,5.26,SEB
2,5.26,TVG
22,5.29,CTD
8,5.32,DDN
23,5.34,ATA
21,5.35,CJC
23,5.35,POM
23,5.37,HVX
23,5.38,DCT
23,5.38,ICF
23,5.39,KHA
23,5.39,PVG
22,5.39,VNR
23,5.4,PVI
23,5.41,DCL
23,5.42,DHG
23,5.42,TNA
21,5.43,HEV
23,5.46,TNM
22,5.48,CTB
23,5.48,DLG
23,5.49,SJC
16,5.53,DTC
23,5.53,SDD
23,5.54,DIC
23,5.56,MIM
23,5.56,PPI
23,5.56,PVL
22,5.59,DAE
23,5.61,BKC
23,5.61,HDC
23,5.65,CT6
23,5.65,VSH
23,5.66,HTV
23,5.67,POT
23,5.68,CNT
23,5.69,XMC
23,5.7,PTC
19,5.7,SDG
22,5.71,DPC
23,5.71,MEC
15,5.73,TAG
23,5.73,WCS
23,5.74,NSC
23,5.78,EBS
23,5.78,VTV
23,5.8,FMC
23,5.8,HNM
23,5.8,SHI
5,5.8,WTC
23,5.82,FDC
19,5.82,HAD
23,5.82,HLA
23,5.82,LCS
23,5.83,VKP
23,5.84,PHC
21,5.88,ALT
23,5.88,SGD
23,5.9,ABT
10,5.9,VXB
23,5.91,VCG
23,5.95,LBM
22,5.96,VCS
23,5.97,DXV
23,5.97,KDH
23,5.97,MPC
23,5.98,BTP
23,5.99,CLG
23,5.99,TJC
23,6.0,GMC
20,6.0,VHL
23,6.01,SD4
23,6.02,VCR
23,6.03,DDM
23,6.03,PFL
23,6.03,PGD
23,6.04,AAA
23,6.04,DHA
23,6.05,HMH
23,6.05,UNI
23,6.05,VNE
20,6.07,ICI
23,6.08,VC5
23,6.1,HVG
12,6.11,DBM
23,6.11,L10
23,6.12,GGG
23,6.15,HSG
23,6.17,MSN
23,6.18,IDJ
23,6.18,SMA
20,6.19,BBS
13,6.19,SGC
21,6.21,VNT
23,6.23,HT1
23,6.23,VMD
23,6.25,SZL
23,6.3,PVX
23,6.3,SAV
20,6.3,SFN
23,6.33,TNC
13,6.36,PAN
23,6.36,VHC
23,6.38,QCG
18,6.41,CAN
23,6.41,PXS
23,6.41,SC5
13,6.41,TMC
23,6.42,HJS
23,6.42,PXT
15,6.44,QST
23,6.47,CLC
23,6.48,D2D
21,6.48,DST
23,6.48,L35
23,6.54,SDJ
23,6.54,SED
23,6.58,CYC
22,6.58,S12
23,6.59,HSI
23,6.59,TST
22,6.61,NAV
23,6.62,UIC
23,6.62,V21
23,6.67,HAX
23,6.67,VST
23,6.69,PET
23,6.69,PPC
21,6.73,ILC
22,6.73,PAC
23,6.74,CTN
22,6.79,TDW
23,6.82,OCH
18,6.84,HTC
23,6.84,PGC
20,6.86,MCO
23,6.86,VNH
23,6.87,ST8
23,6.89,LGL
20,6.9,HBD
10,6.9,MCC
23,6.94,TTF
23,6.95,VGP
23,6.95,VIG
10,6.96,VCT
23,6.99,CVT
23,6.99,KSH
23,6.99,UDJ
22,7.0,LHC
21,7.0,STC
22,7.03,VC1
22,7.05,HLY
21,7.08,BST
23,7.09,PVR
22,7.1,MKP
23,7.1,VID
23,7.11,TCT
23,7.12,ORS
23,7.12,SRA
23,7.13,HCM
23,7.14,DC4
23,7.14,GTT
23,7.14,SCD
23,7.18,SJE
15,7.2,HGM
23,7.21,GLT
23,7.21,UDC
23,7.24,VC2
23,7.25,MCP
23,7.25,S96
23,7.25,TXM
23,7.28,VSG
23,7.33,DL1
23,7.34,CMC
23,7.35,PVC
23,7.36,SMC
23,7.41,PGT
23,7.43,HPG
10,7.43,QHD
23,7.45,LO5
23,7.45,TKC
21,7.46,BTW
23,7.47,NVT
23,7.48,SD8
23,7.48,SPM
23,7.48,TDN
23,7.48,VMG
23,7.51,TS4
23,7.53,TLH
23,7.54,WSS
19,7.56,IDV
23,7.56,TIX
16,7.57,SGH
21,7.57,TNB
23,7.57,VCC
23,7.58,HAS
23,7.58,S74
23,7.6,PSB
23,7.6,RDP
23,7.62,V11
23,7.62,VTA
23,7.63,ALV
15,7.64,SDC
20,7.64,TPH
6,7.68,ACE
23,7.69,HUT
23,7.69,VIX
23,7.73,API
22,7.74,LM7
23,7.77,DRC
23,7.77,SD6
23,7.79,APS
23,7.79,HHG
23,7.8,LM3
22,7.83,TRA
23,7.86,DPM
23,7.87,SD3
23,7.89,NTB
23,7.9,SD2
9,7.9,SDN
23,7.91,HAP
23,7.94,VHH
23,7.95,REE
18,7.96,BMJ
23,7.96,MTG
23,8.0,SMT
23,8.01,CMT
3,8.02,CT3
23,8.02,SCC
18,8.02,SVI
23,8.02,TTC
23,8.02,VHG
23,8.04,ELC
23,8.06,LUT
23,8.06,PDC
23,8.07,DRH
23,8.07,HLG
23,8.08,STB
23,8.13,STL
23,8.14,SD1
19,8.14,SDY
10,8.15,GDW
23,8.16,SDU
23,8.17,KAC
23,8.18,DNP
12,8.24,VAT
19,8.28,QCC
23,8.29,TBC
18,8.3,SPP
23,8.3,TSC
23,8.32,BVG
23,8.32,VPH
11,8.35,HPP
23,8.39,DBC
23,8.41,VDS
22,8.42,HPB
23,8.42,TNT
23,8.44,VE1
23,8.45,STP
23,8.47,APP
23,8.51,DC2
23,8.54,CMI
23,8.55,PSP
23,8.57,NBP
23,8.59,LHG
16,8.63,DNC
23,8.64,HTP
23,8.65,AVF
22,8.65,HCT
23,8.65,PXI
23,8.68,KMR
23,8.69,SRB
23,8.72,L44
23,8.73,DXG
12,8.73,PV2
23,8.73,SD7
23,8.73,SDP
23,8.74,KSD
23,8.75,APG
23,8.75,DTA
23,8.76,MHC
23,8.77,EFI
23,8.79,ITA
14,8.8,BXH
23,8.81,V12
20,8.84,NST
23,8.86,CKV
23,8.86,SJM
23,8.88,KBC
23,8.88,TLT
23,8.89,SDT
23,8.93,HBS
22,8.98,TMX
23,9.01,TPP
23,9.02,BBC
23,9.08,LTC
23,9.15,DTL
23,9.16,SRC
23,9.18,KKC
23,9.23,AMV
23,9.24,LIG
23,9.27,TGP
23,9.28,PVA
20,9.28,VMC
23,9.32,PVS
23,9.32,SFI
22,9.38,LM8
23,9.41,SIC
23,9.43,VCM
23,9.44,VNL
23,9.46,NBC
22,9.48,MHL
8,9.53,PJC
23,9.53,SDA
23,9.54,EIB
23,9.57,TNG
23,9.58,CDC
17,9.58,PXL
23,9.59,DAD
17,9.6,KTT
18,9.64,CAP
23,9.64,SD9
23,9.66,VCB
18,9.69,TTG
23,9.78,TDC
20,9.79,LBE
23,9.79,SJS
15,9.82,BDB
21,9.82,PIV
23,9.9,QNC
23,9.96,V15
23,9.97,DHT
23,9.98,L18
17,9.99,SAP
22,10.0,B82
23,10.0,MCG
16,10.03,COM
23,10.03,CTC
23,10.11,ACB
16,10.12,ACC
23,10.13,VBH
23,10.21,LGC
23,10.22,C92
23,10.23,GMD
23,10.28,PVV
23,10.28,VE9
23,10.32,CMS
23,10.37,SVC
23,10.38,TMT
9,10.42,VLF
23,10.48,MIC
6,10.5,VSI
23,10.51,CCM
23,10.53,PSC
