symbol,close,timestamp,low,open,high,volume,date
IDI,2.84,1472428800,2.84,2.9,2.95,252880,2016-08-29
IDI,2.84,1472515200,2.84,2.84,2.9,92070,2016-08-30
IDI,2.79,1472601600,2.79,2.84,2.84,338980,2016-08-31
IDI,2.67,1472688000,2.62,2.73,2.79,1056220,2016-09-01
IDI,2.67,1473033600,2.62,2.67,2.84,589620,2016-09-05
IDI,2.79,1473120000,2.67,2.67,2.79,318630,2016-09-06
IDI,2.67,1473206400,2.67,2.73,2.73,279230,2016-09-07
IDI,2.73,1473292800,2.67,2.67,2.79,301230,2016-09-08
IDI,2.73,1473379200,2.67,2.73,2.79,361240,2016-09-09
IDI,2.68,1473638400,2.68,2.73,2.74,284940,2016-09-12
IDI,2.67,1473724800,2.65,2.65,2.7,291590,2016-09-13
IDI,2.67,1473811200,2.67,2.67,2.69,337100,2016-09-14
IDI,2.65,1473897600,2.65,2.67,2.67,747610,2016-09-15
IDI,2.46,1473984000,2.46,2.62,2.62,774840,2016-09-16
IDI,2.51,1474243200,2.47,2.47,2.62,538120,2016-09-19
IDI,2.52,1474329600,2.51,2.52,2.54,198170,2016-09-20
IDI,2.52,1474416000,2.51,2.51,2.53,298310,2016-09-21
IDI,2.6,1474502400,2.53,2.54,2.62,400040,2016-09-22
IDI,2.62,1474588800,2.6,2.6,2.63,240000,2016-09-23
IDI,2.63,1474848000,2.61,2.63,2.66,155680,2016-09-26
IDI,2.63,1474934400,2.63,2.63,2.66,314080,2016-09-27
IDI,2.63,1475020800,2.62,2.63,2.67,539490,2016-09-28
IDI,2.63,1475107200,2.62,2.64,2.65,314950,2016-09-29
IDI,2.62,1475193600,2.62,2.62,2.63,273480,2016-09-30
IDI,2.62,1475452800,2.62,2.62,2.63,205160,2016-10-03
IDI,2.62,1475539200,2.62,2.63,2.63,244910,2016-10-04
IDI,2.62,1475625600,2.62,2.63,2.63,542530,2016-10-05
IDI,2.63,1475712000,2.61,2.62,2.63,394290,2016-10-06
IDI,2.62,1475798400,2.44,2.63,2.63,479260,2016-10-07
IDI,2.61,1476057600,2.61,2.61,2.64,301960,2016-10-10
IDI,2.61,1476144000,2.6,2.61,2.62,365590,2016-10-11
IDI,2.61,1476230400,2.61,2.61,2.62,107790,2016-10-12
IDI,2.79,1476316800,2.6,2.61,2.79,536130,2016-10-13
IDI,2.91,1476403200,2.9,2.94,2.98,1197070,2016-10-14
IDI,2.87,1476662400,2.86,3.01,3.01,241350,2016-10-17
IDI,2.83,1476748800,2.79,2.83,2.87,257200,2016-10-18
IDI,2.75,1476835200,2.69,2.82,2.84,165070,2016-10-19
IDI,2.81,1476921600,2.71,2.73,2.83,543240,2016-10-20
IDI,2.86,1477008000,2.8,2.8,2.87,256240,2016-10-21
IDI,2.79,1477267200,2.79,2.86,2.86,133700,2016-10-24
IDI,2.73,1477353600,2.73,2.83,2.83,224600,2016-10-25
IDI,2.73,1477440000,2.68,2.78,2.78,193620,2016-10-26
IDI,2.73,1477526400,2.67,2.67,2.79,158670,2016-10-27
IDI,2.76,1477612800,2.73,2.73,2.79,98090,2016-10-28
IDI,2.76,1477872000,2.71,2.77,2.79,24260,2016-10-31
IDI,2.64,1477958400,2.63,2.75,2.75,218330,2016-11-01
IDI,2.64,1478044800,2.63,2.63,2.7,152170,2016-11-02
IDI,2.62,1478131200,2.62,2.63,2.69,29530,2016-11-03
IDI,2.57,1478217600,2.57,2.63,2.65,113020,2016-11-04
IDI,2.61,1478476800,2.56,2.61,2.61,76880,2016-11-07
IDI,2.56,1478563200,2.56,2.61,2.62,100710,2016-11-08
IDI,2.46,1478649600,2.45,2.54,2.59,105060,2016-11-09
IDI,2.53,1478736000,2.51,2.51,2.56,950390,2016-11-10
IDI,2.48,1478822400,2.48,2.53,2.53,284080,2016-11-11
IDI,2.46,1479081600,2.45,2.48,2.51,73350,2016-11-14
IDI,2.35,1479168000,2.34,2.43,2.46,401180,2016-11-15
IDI,2.41,1479254400,2.34,2.34,2.41,298650,2016-11-16
IDI,2.4,1479340800,2.4,2.42,2.44,186270,2016-11-17
IDI,2.38,1479427200,2.37,2.39,2.41,113630,2016-11-18
IDI,2.32,1479686400,2.31,2.37,2.38,144490,2016-11-21
IDI,2.31,1479772800,2.31,2.33,2.38,374060,2016-11-22
IDI,2.33,1479859200,2.31,2.31,2.36,37070,2016-11-23
IDI,2.33,1479945600,2.28,2.33,2.36,73670,2016-11-24
IDI,2.32,1480032000,2.31,2.33,2.33,61480,2016-11-25
IDI,2.28,1480291200,2.28,2.32,2.33,106810,2016-11-28
IDI,2.22,1480377600,2.21,2.31,2.31,399120,2016-11-29
IDI,2.22,1480464000,2.18,2.23,2.24,175540,2016-11-30
IDI,2.22,1480550400,2.21,2.21,2.27,301280,2016-12-01
IDI,2.12,1480636800,2.07,2.22,2.22,424210,2016-12-02
IDI,2.26,1480896000,2.09,2.17,2.26,461600,2016-12-05
IDI,2.42,1480982400,2.35,2.4,2.42,397410,2016-12-06
IDI,2.58,1481068800,2.58,2.58,2.58,326850,2016-12-07
IDI,2.59,1481155200,2.59,2.76,2.76,783880,2016-12-08
IDI,2.58,1481241600,2.51,2.59,2.61,392810,2016-12-09
IDI,2.58,1481500800,2.49,2.49,2.76,1055390,2016-12-12
IDI,2.56,1481587200,2.56,2.56,2.67,402130,2016-12-13
