open,close,volume,symbol,timestamp,low,date,high
6.8,6.8,300,PSI,1402531200,6.5,2014-06-12,6.8
6.4,6.4,100,PSI,1402617600,6.4,2014-06-13,6.4
6.4,6.4,100,PSI,1402876800,6.4,2014-06-16,6.4
6.3,6.7,300,PSI,1402963200,6.3,2014-06-17,6.7
6.7,6.7,27000,PSI,1403049600,6.5,2014-06-18,6.8
6.3,6.7,2100,PSI,1403136000,6.3,2014-06-19,6.7
6.7,6.6,1400,PSI,1403222400,6.6,2014-06-20,6.7
6.6,6.6,12700,PSI,1403481600,6.6,2014-06-23,6.7
6.7,6.9,23300,PSI,1403568000,6.7,2014-06-24,6.9
6.9,6.8,1500,PSI,1403654400,6.8,2014-06-25,7
7,6.5,10100,PSI,1403740800,6.5,2014-06-26,7
7,6.8,2000,PSI,1403827200,6.8,2014-06-27,7
6.5,6.6,11900,PSI,1404086400,6.4,2014-06-30,6.9
6.6,6.8,400,PSI,1404172800,6.6,2014-07-01,6.8
7.1,7,3000,PSI,1404259200,7,2014-07-02,7.1
7,7.2,33400,PSI,1404345600,7,2014-07-03,7.2
7.2,6.8,4100,PSI,1404432000,6.7,2014-07-04,7.2
7,7,19100,PSI,1404691200,7,2014-07-07,7.1
6.5,6.9,30700,PSI,1404777600,6.5,2014-07-08,7
7,6.6,9600,PSI,1404864000,6.6,2014-07-09,7
6.6,6.6,30200,PSI,1404950400,6.6,2014-07-10,7
6.5,6.6,800,PSI,1405036800,6.5,2014-07-11,6.6
6.8,6.9,7100,PSI,1405382400,6.8,2014-07-15,6.9
7,6.9,600,PSI,1405468800,6.9,2014-07-16,7
7,6.9,3000,PSI,1405555200,6.9,2014-07-17,7
6.9,7,44400,PSI,1405900800,6.9,2014-07-21,7.2
6.8,6.8,100,PSI,1405987200,6.8,2014-07-22,6.8
6.8,6.9,3000,PSI,1406073600,6.7,2014-07-23,6.9
6.7,6.8,1500,PSI,1406160000,6.7,2014-07-24,6.8
6.8,6.8,200,PSI,1406246400,6.8,2014-07-25,6.8
6.4,6.9,1200,PSI,1406505600,6.4,2014-07-28,6.9
6.4,6.9,300,PSI,1406592000,6.4,2014-07-29,6.9
6.9,6.6,30300,PSI,1406678400,6.6,2014-07-30,6.9
6.6,7,1700,PSI,1406764800,6.6,2014-07-31,7
6.9,6.9,30000,PSI,1406851200,6.9,2014-08-01,6.9
6.9,7,44900,PSI,1407110400,6.9,2014-08-04,7.1
7.1,7,53100,PSI,1407196800,6.8,2014-08-05,7.1
6.9,7,2600,PSI,1407283200,6.9,2014-08-06,7
7,7.1,200,PSI,1407369600,7,2014-08-07,7.1
7,6.9,2600,PSI,1407456000,6.7,2014-08-08,7
6.9,7,500,PSI,1407715200,6.9,2014-08-11,7
7,6.7,5600,PSI,1407801600,6.7,2014-08-12,7
7,7,42700,PSI,1407888000,6.7,2014-08-13,7.2
7,6.9,96400,PSI,1407974400,6.9,2014-08-14,7
6.9,6.9,200,PSI,1408060800,6.9,2014-08-15,6.9
7,7.5,54400,PSI,1408320000,7,2014-08-18,7.5
7.5,7.4,9100,PSI,1408406400,7.1,2014-08-19,7.5
7.1,7,10115,PSI,1408492800,7,2014-08-20,7.1
7,7.1,29000,PSI,1408579200,7,2014-08-21,7.2
7,7,41905,PSI,1408665600,6.9,2014-08-22,7.3
7,7.3,1100,PSI,1408924800,7,2014-08-25,7.5
7.2,7.2,1825,PSI,1409011200,7.2,2014-08-26,7.2
7.1,7,35800,PSI,1409097600,7,2014-08-27,7.2
7.2,7.3,26100,PSI,1409184000,7.2,2014-08-28,7.4
7.3,7.5,51600,PSI,1409270400,7.1,2014-08-29,7.6
7.7,7.3,2010,PSI,1409702400,7.3,2014-09-03,7.7
7.2,7.4,5415,PSI,1409788800,7,2014-09-04,7.4
7,7.3,2600,PSI,1409875200,7,2014-09-05,7.3
7.2,7.6,84640,PSI,1410134400,7.2,2014-09-08,7.7
7.6,7.4,73130,PSI,1410220800,7.3,2014-09-09,7.6
7.4,7.5,14935,PSI,1410307200,7.2,2014-09-10,7.5
7.4,7.5,33620,PSI,1410393600,7.3,2014-09-11,7.5
7.4,8.2,179500,PSI,1410480000,7.4,2014-09-12,8.2
8,8,98700,PSI,1410739200,7.9,2014-09-15,8.3
7.9,8,26700,PSI,1410825600,7.7,2014-09-16,8
8,8.4,84000,PSI,1410912000,8,2014-09-17,8.7
8.4,7.7,21450,PSI,1410998400,7.7,2014-09-18,8.4
7.3,7.7,67600,PSI,1411084800,7.3,2014-09-19,7.7
7.6,7.6,16200,PSI,1411344000,7.3,2014-09-22,7.6
7.6,7.5,48225,PSI,1411430400,7.5,2014-09-23,7.6
7.5,7.7,30145,PSI,1411516800,7.5,2014-09-24,7.7
7.1,7.7,1680,PSI,1411603200,7.1,2014-09-25,7.8
7.6,7.5,62400,PSI,1411689600,7.5,2014-09-26,7.7
7.3,7.5,93120,PSI,1411948800,7.3,2014-09-29,7.8
7.4,7.5,95875,PSI,1412035200,7.4,2014-09-30,7.7
7.5,7.5,61450,PSI,1412121600,7.5,2014-10-01,7.8
7.8,7.6,49915,PSI,1412208000,7.6,2014-10-02,7.8
7.5,7.5,74575,PSI,1412294400,7.5,2014-10-03,7.7
7.6,7.5,171200,PSI,1412553600,7.5,2014-10-06,7.6
7.5,7.6,114100,PSI,1412640000,7.5,2014-10-07,7.8
7.8,7.7,74425,PSI,1412726400,7.6,2014-10-08,7.8
7.7,7.7,25725,PSI,1412812800,7.6,2014-10-09,7.8
7.7,7.5,5125,PSI,1412899200,7.5,2014-10-10,7.7
7.5,7.7,38715,PSI,1413158400,7.5,2014-10-13,7.7
7.5,7.5,9300,PSI,1413244800,7.5,2014-10-14,7.5
7.4,7.4,51200,PSI,1413331200,7.3,2014-10-15,7.4
7.2,7.2,18450,PSI,1413417600,7.1,2014-10-16,7.2
7.8,7.6,11600,PSI,1413504000,7.2,2014-10-17,7.8
7.5,7.4,50400,PSI,1413763200,7.4,2014-10-20,7.5
7.5,7.4,690,PSI,1413849600,7.4,2014-10-21,7.5
7.3,7.3,510,PSI,1413936000,7.3,2014-10-22,7.3
7.2,7.4,93725,PSI,1414022400,7.2,2014-10-23,7.5
7.2,7.4,10840,PSI,1414108800,7.2,2014-10-24,7.4
7.3,7.1,38600,PSI,1414368000,7.1,2014-10-27,7.3
7.5,7.4,80550,PSI,1414454400,7,2014-10-28,7.5
7,7.4,11325,PSI,1414540800,6.8,2014-10-29,7.4
7.3,7.3,37000,PSI,1414627200,7.2,2014-10-30,7.3
7.4,7.5,32320,PSI,1414713600,7.3,2014-10-31,7.5
7,7.1,22500,PSI,1414972800,7,2014-11-03,7.5
7.2,7.3,15800,PSI,1415059200,7.2,2014-11-04,7.5
7.2,7.3,9700,PSI,1415145600,7.2,2014-11-05,7.4
7.2,7.4,3725,PSI,1415232000,7.2,2014-11-06,7.4
7.2,7.4,10100,PSI,1415318400,7,2014-11-07,7.4
7,7.4,36626,PSI,1415577600,7,2014-11-10,7.4
7.2,7.1,2700,PSI,1415664000,7.1,2014-11-11,7.4
7.2,7.2,24950,PSI,1415750400,7,2014-11-12,7.2
7.2,7.3,32800,PSI,1415836800,7.2,2014-11-13,7.3
7.3,7.1,41800,PSI,1415923200,7.1,2014-11-14,7.4
7,7.2,20610,PSI,1416182400,7,2014-11-17,7.2
